id,original,team,surface,pronunciation,type,category,scope,wikidata,image,image_page,position,description
19,アダイウトン・ドス・サントス・ダ・シルバ,横浜FC,アダイウトン・ドス・サントス・ダ・シルバ,アダイウトン,given,player,jleague,Q18817334,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_7f0958bfa9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_7f0958bfa9.svg,MF/FW,NA。
20,アダウト・バティスタ・ダ・シルバ,北海道コンサドーレ札幌,アダウト・バティスタ・ダ・シルバ,アダウト バティスタ ダ シルバ,full,player,jleague,Q718871,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_39ad0dada9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_39ad0dada9.svg,MF,NA。
20,アダウト・バティスタ・ダ・シルバ,北海道コンサドーレ札幌,アダウト・バティスタ・ダ・シルバ,シルバ,family,player,jleague,Q718871,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_39ad0dada9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_39ad0dada9.svg,MF,NA。
20,アダウト・バティスタ・ダ・シルバ,北海道コンサドーレ札幌,アダウト・バティスタ・ダ・シルバ,アダウト,given,player,jleague,Q718871,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_39ad0dada9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_39ad0dada9.svg,MF,NA。
21,アダム・タガート,セレッソ大阪,アダム・タガート,アダム タガート,full,player,jleague,Q351052,http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Taggart_2013.jpg,https://commons.wikimedia.org/wiki/File:Adam_Taggart_2013.jpg,FW,NA。
21,アダム・タガート,セレッソ大阪,アダム・タガート,タガート,family,player,jleague,Q351052,http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Taggart_2013.jpg,https://commons.wikimedia.org/wiki/File:Adam_Taggart_2013.jpg,FW,NA。
21,アダム・タガート,セレッソ大阪,アダム・タガート,アダム,given,player,jleague,Q351052,http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Taggart_2013.jpg,https://commons.wikimedia.org/wiki/File:Adam_Taggart_2013.jpg,FW,NA。
22,アチーレ・エマナ,徳島ヴォルティス,アチーレ・エマナ,アチーレ エマナ,full,player,jleague,Q311657,http://commons.wikimedia.org/wiki/Special:FilePath/Achille_Emana_cropped.jpg,https://commons.wikimedia.org/wiki/File:Achille_Emana_cropped.jpg,MF,NA。
22,アチーレ・エマナ,徳島ヴォルティス,アチーレ・エマナ,エマナ,family,player,jleague,Q311657,http://commons.wikimedia.org/wiki/Special:FilePath/Achille_Emana_cropped.jpg,https://commons.wikimedia.org/wiki/File:Achille_Emana_cropped.jpg,MF,NA。
22,アチーレ・エマナ,徳島ヴォルティス,アチーレ・エマナ,アチーレ,given,player,jleague,Q311657,http://commons.wikimedia.org/wiki/Special:FilePath/Achille_Emana_cropped.jpg,https://commons.wikimedia.org/wiki/File:Achille_Emana_cropped.jpg,MF,NA。
23,アデイルソン・ペレイラ・コエーリョ,東京ヴェルディ1969,アデイルソン・ペレイラ・コエーリョ,アデイルソン ペレイラ コエーリョ,full,player,jleague,Q352716,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_ee83918b43.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_ee83918b43.svg,FW,NA。
23,アデイルソン・ペレイラ・コエーリョ,東京ヴェルディ1969,アデイルソン・ペレイラ・コエーリョ,コエーリョ,family,player,jleague,Q352716,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_ee83918b43.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_ee83918b43.svg,FW,NA。
23,アデイルソン・ペレイラ・コエーリョ,東京ヴェルディ1969,アデイルソン・ペレイラ・コエーリョ,アデイルソン,given,player,jleague,Q352716,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_ee83918b43.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_ee83918b43.svg,FW,NA。
24,アデミウソン・ブラガ・ビスポ・ジュニオール,町田,アデミウソン・ブラガ・ビスポ・ジュニオール,アデミウソン ブラガ ビスポ ジュニオール,full,player,jleague,Q2756361,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_c811b894ad.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_c811b894ad.svg,FW,NA。
24,アデミウソン・ブラガ・ビスポ・ジュニオール,町田,アデミウソン・ブラガ・ビスポ・ジュニオール,ジュニオール,family,player,jleague,Q2756361,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_c811b894ad.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_c811b894ad.svg,FW,NA。
24,アデミウソン・ブラガ・ビスポ・ジュニオール,町田,アデミウソン・ブラガ・ビスポ・ジュニオール,アデミウソン,given,player,jleague,Q2756361,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_c811b894ad.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_c811b894ad.svg,FW,NA。
25,アドリアーノ・ジェルリン・ダ・シルバ,浦和レッドダイヤモンズ,アドリアーノ・ジェルリン・ダ・シルバ,アドリアーノ ジェルリン ダ シルバ,full,player,jleague,Q197569,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e12e1ecc67.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e12e1ecc67.svg,MF,NA。
25,アドリアーノ・ジェルリン・ダ・シルバ,浦和レッドダイヤモンズ,アドリアーノ・ジェルリン・ダ・シルバ,シルバ,family,player,jleague,Q197569,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e12e1ecc67.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e12e1ecc67.svg,MF,NA。
25,アドリアーノ・ジェルリン・ダ・シルバ,浦和レッドダイヤモンズ,アドリアーノ・ジェルリン・ダ・シルバ,アドリアーノ,given,player,jleague,Q197569,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e12e1ecc67.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e12e1ecc67.svg,MF,NA。
