id,original,team,surface,pronunciation,type,org_id,image,image_page
10,相川良太,オリックス,相川,アイカワ,family,10,http://commons.wikimedia.org/wiki/Special:FilePath/OB-Ryouta-Aikawa.jpg,https://commons.wikimedia.org/wiki/File:OB-Ryouta-Aikawa.jpg
10,相川良太,オリックス,相川良太,アイカワリョウタ,full,10,http://commons.wikimedia.org/wiki/Special:FilePath/OB-Ryouta-Aikawa.jpg,https://commons.wikimedia.org/wiki/File:OB-Ryouta-Aikawa.jpg
10,相川良太,オリックス,良太,リョウタ,given,10,http://commons.wikimedia.org/wiki/Special:FilePath/OB-Ryouta-Aikawa.jpg,https://commons.wikimedia.org/wiki/File:OB-Ryouta-Aikawa.jpg
11,相木崇,オリックス-阪神,相木,アイキ,family,11,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b47ede925f.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b47ede925f.svg
11,相木崇,オリックス-阪神,相木崇,アイキタカシ,full,11,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b47ede925f.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b47ede925f.svg
11,相木崇,オリックス-阪神,崇,タカシ,given,11,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b47ede925f.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b47ede925f.svg
12,愛敬尚史,近鉄-楽天,愛敬,アイキョウ,family,12,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c75907235c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c75907235c.svg
12,愛敬尚史,近鉄-楽天,愛敬尚史,アイキョウヒサシ,full,12,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c75907235c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c75907235c.svg
12,愛敬尚史,近鉄-楽天,尚史,ヒサシ,given,12,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c75907235c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c75907235c.svg
13,ホアン・アイケルバーガー,ヤクルト,アイケルバーガー,アイケルバーガー,family,13,http://commons.wikimedia.org/wiki/Special:FilePath/Juan_Eichelberger_Indians.jpg,https://commons.wikimedia.org/wiki/File:Juan_Eichelberger_Indians.jpg
