id,original,surface,pronunciation,class,extinct,family,genus,image,image_page,wikidata
42,アオモリアザミ,アオモリアザミ,アオモリアザミ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
43,アオヤギバナ,アオヤギバナ,アオヤギバナ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
44,アカウキクサ,アカウキクサ,アカウキクサ,シダ植物,no,Salviniaceae,アカウキクサ属,http://commons.wikimedia.org/wiki/Special:FilePath/Azolla_imbricata.JPG,https://commons.wikimedia.org/wiki/File:Azolla_imbricata.JPG,Q5788181
45,アカウレ,アカウレ,アカウレ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
46,アカガシ,アカガシ,アカガシ,双子葉,no,ブナ科,コナラ属,http://commons.wikimedia.org/wiki/Special:FilePath/Quercus_acuta3.jpg,https://commons.wikimedia.org/wiki/File:Quercus_acuta3.jpg,Q1075957
47,アカガシワ,アカガシワ,アカガシワ,双子葉,no,ブナ科,コナラ属,http://commons.wikimedia.org/wiki/Special:FilePath/Twin_Sisters_Trail_%2814%29_%2814092717698%29.jpg,https://commons.wikimedia.org/wiki/File:Twin_Sisters_Trail_%2814%29_%2814092717698%29.jpg,Q147525
48,アカキア・グレグギイ,アカキア・グレグギイ,アカキア・グレグギイ,双子葉,no,マメ科,アカシア属,http://commons.wikimedia.org/wiki/Special:FilePath/Acacia_greggii_8.jpg,https://commons.wikimedia.org/wiki/File:Acacia_greggii_8.jpg,Q4670941
49,アカキア・ドレパノロビウム,アカキア・ドレパノロビウム,アカキア・ドレパノロビウム,双子葉,no,マメ科,アカシア属,http://commons.wikimedia.org/wiki/Special:FilePath/Whistling_thorn.jpg,https://commons.wikimedia.org/wiki/File:Whistling_thorn.jpg,Q1953932
50,アカキア・ベルランディエリ,アカキア・ベルランディエリ,アカキア・ベルランディエリ,双子葉,no,マメ科,アカシア属,http://commons.wikimedia.org/wiki/Special:FilePath/Acacia_berlandieri_branch.jpg,https://commons.wikimedia.org/wiki/File:Acacia_berlandieri_branch.jpg,Q965323
51,アカキナノキ,アカキナノキ,アカキナノキ,双子葉,no,アカネ科,キナノキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Cinchona_pubescens%2C_flower_of_the_Quinine_Tree._%289406920760%29_4x3.jpg,https://commons.wikimedia.org/wiki/File:Cinchona_pubescens%2C_flower_of_the_Quinine_Tree._%289406920760%29_4x3.jpg,Q164574
