id,original,surface,pronunciation,type,category,org,debut_year,status,image,image_page,wikidata,channel,description,subscribers,subscribers_as_of,image_credit,image_usage,image_terms_page,scope
50,SHAKA,SHAKA,シャカ,full,youtuber,ZETA DIVISION,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_c0e1df99c3.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_c0e1df99c3.svg,Q56347712,SHAKAch,元プロゲーマー、ストリーマー、YouTuber。主にライブ配信プラットフォームTwitchで配信活動をしている。,1220000,2026-08-15,,,,japan
51,SPYGEA,SPYGEA,スパイギア,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_9360b08183.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_9360b08183.svg,Q109287648,SPYGEA / スパイギア,元プロゲーマー、ストリーマー、YouTuberである。主にライブ配信プラットフォームTwitchで配信活動している。,311000,2026-08-15,,,,japan
52,Sharla,Sharla,シャーラ,full,youtuber,NA,NA,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sharmeleon.png,https://commons.wikimedia.org/wiki/File:Sharmeleon.png,Q79843678,Sharmeleon,メディアでは「在日外国人YouTuberのパイオニア的存在」として紹介されている。,791000,2026-08-15,,,,global
53,SkyDoesMinecraft,SkyDoesMinecraft,スカイダズマインクラフト,full,youtuber,NA,2011,current,http://commons.wikimedia.org/wiki/Special:FilePath/SkyDoesMinecraft.png,https://commons.wikimedia.org/wiki/File:SkyDoesMinecraft.png,Q104777492,Sky Does Everything,ダールバーグは2011年に初めてYouTubeに参加した。,10800000,2026-08-15,,,,global
54,Swind,Swind,スインド,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ae53e5fb41.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ae53e5fb41.svg,Q77810919,Swind【名古屋めし愛好家】,小説家、漫画原作者、名古屋めし専門料理研究家、YouTuber。,6480,2026-08-15,,,,japan
56,UraN,UraN,ウラン,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_dac5188c3f.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_dac5188c3f.svg,Q97167301,くれいじーまぐねっと CrazyMagnet,ぽっちゃり女子向けファッション誌「la farfa」専属モデル。,2090000,2026-08-15,,,,japan
57,あいすけ,あいすけ,アイスケ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_5c235527d7.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_5c235527d7.svg,Q11256620,あいすけ_,お笑い芸人（ピン芸人）、YouTuber。,5500,2026-08-15,,,,japan
58,あおい,あおい,アオイ,full,youtuber,NA,2020,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e9b0c313e1.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e9b0c313e1.svg,Q113566906,ぶーちゃんねる-歌舞伎町リアル-,インフルエンサー、タレント、YouTuber。,253000,2026-08-15,,,,japan
59,あきとんとん,あきとんとん,アキトントン,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_22665b76e2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_22665b76e2.svg,Q140570278,【楽しい授業動画】あきとんとん,教育系YouTuber。,751000,2026-08-15,,,,unknown
60,あきぴで,あきぴで,アキピデ,full,youtuber,NA,2021,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_9dde5b4069.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_9dde5b4069.svg,Q123408018,チェリー東大 /あきぴで,主に学歴や受験を題材にした動画を投稿している。,727000,2026-08-15,,,,japan
61,あさぎーにょ,あさぎーにょ,アサギーニョ,full,youtuber,NA,2015,current,http://commons.wikimedia.org/wiki/Special:FilePath/Super%21_C_CHANNEL_2018_Asagiinyo_%2844562895054%29.jpg,https://commons.wikimedia.org/wiki/File:Super%21_C_CHANNEL_2018_Asagiinyo_%2844562895054%29.jpg,Q60987505,あさぎーにょ,クリエイティブアーティスト、YouTuber、ファッションブランド『POPPY』ディレクター。,1580000,2026-08-15,,,,japan
