id,original,surface,pronunciation,class,extinct,order,family,image,image_page,wikidata
15224,マタマタ,マタマタ,マタマタ,爬虫類,no,カメ目,ヘビクビガメ科,http://commons.wikimedia.org/wiki/Special:FilePath/2009_Chelus_fimbriatus.JPG,https://commons.wikimedia.org/wiki/File:2009_Chelus_fimbriatus.JPG,Q317386
15225,マダイ,マダイ,マダイ,魚類,no,タイ目,タイ科,http://commons.wikimedia.org/wiki/Special:FilePath/Pagrus_major_Red_seabream_ja01.jpg,https://commons.wikimedia.org/wiki/File:Pagrus_major_Red_seabream_ja01.jpg,Q1196387
15226,マダガスカルアマツバメ,マダガスカルアマツバメ,マダガスカルアマツバメ,鳥類,no,アマツバメ目,アマツバメ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_6a16da64a7e8_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_6a16da64a7e8_generated.webp,
15227,マダガスカルオオオヒキコウモリ,マダガスカルオオオヒキコウモリ,マダガスカルオオオヒキコウモリ,哺乳類,no,翼手目,オヒキコウモリ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_0beedb2ff57a_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_0beedb2ff57a_generated.webp,
15228,マダガスカルオオタカ,マダガスカルオオタカ,マダガスカルオオタカ,鳥類,no,タカ目,タカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Accipiter_henstii.jpg,https://commons.wikimedia.org/wiki/File:Accipiter_henstii.jpg,Q113999
15229,マダガスカルカイツブリ,マダガスカルカイツブリ,マダガスカルカイツブリ,鳥類,no,カイツブリ目,カイツブリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_Grebe_Tachybaptus_pelzelnii%2C_Andasibe%2C_Madagascar_1.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_Grebe_Tachybaptus_pelzelnii%2C_Andasibe%2C_Madagascar_1.jpg,Q656986
15230,マダガスカルカッコウハヤブサ,マダガスカルカッコウハヤブサ,マダガスカルカッコウハヤブサ,鳥類,no,タカ目,タカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Aviceda_madagascariensis_1868.jpg,https://commons.wikimedia.org/wiki/File:Aviceda_madagascariensis_1868.jpg,Q1050519
15231,マダガスカルクイナ,マダガスカルクイナ,マダガスカルクイナ,鳥類,no,ツル目,アフリカクイナ科,http://commons.wikimedia.org/wiki/Special:FilePath/Canirallus_kioloides_1868.jpg,https://commons.wikimedia.org/wiki/File:Canirallus_kioloides_1868.jpg,Q630665
15232,マダガスカルクロクイナ,マダガスカルクロクイナ,マダガスカルクロクイナ,鳥類,no,ツル目,クイナ科,http://commons.wikimedia.org/wiki/Special:FilePath/Marouette_d%27Olivier_-_Zapornia_olivieri_-_Sakalava_Rail%2C_Lac_Kinkony%2C_Boeny%2C_Madagascar.jpg,https://commons.wikimedia.org/wiki/File:Marouette_d%27Olivier_-_Zapornia_olivieri_-_Sakalava_Rail%2C_Lac_Kinkony%2C_Boeny%2C_Madagascar.jpg,Q1277254
15233,マダガスカルクロサギ,マダガスカルクロサギ,マダガスカルクロサギ,鳥類,no,ペリカン目,サギ科,http://commons.wikimedia.org/wiki/Special:FilePath/Dimorphic_egret_%28Egretta_dimorpha%29_white_and_black_morph.jpg,https://commons.wikimedia.org/wiki/File:Dimorphic_egret_%28Egretta_dimorpha%29_white_and_black_morph.jpg,Q392527
15234,マダガスカルクロトキ,マダガスカルクロトキ,マダガスカルクロトキ,鳥類,no,ペリカン目,トキ科,http://commons.wikimedia.org/wiki/Special:FilePath/BerniersIbisLyd.jpg,https://commons.wikimedia.org/wiki/File:BerniersIbisLyd.jpg,Q368761
15235,マダガスカルサギ,マダガスカルサギ,マダガスカルサギ,鳥類,no,ペリカン目,サギ科,http://commons.wikimedia.org/wiki/Special:FilePath/Ardea_humbloti.jpg,https://commons.wikimedia.org/wiki/File:Ardea_humbloti.jpg,Q373554
15236,マダガスカルサケイ,マダガスカルサケイ,マダガスカルサケイ,鳥類,no,サケイ目,サケイ科,http://commons.wikimedia.org/wiki/Special:FilePath/Pterocles-personatus.jpg,https://commons.wikimedia.org/wiki/File:Pterocles-personatus.jpg,Q127883
15237,マダガスカルシマクイナ,マダガスカルシマクイナ,マダガスカルシマクイナ,鳥類,no,ツル目,アフリカクイナ科,http://commons.wikimedia.org/wiki/Special:FilePath/CorethruraInsularisKeulemans.jpg,https://commons.wikimedia.org/wiki/File:CorethruraInsularisKeulemans.jpg,Q1263754
15238,マダガスカルシマヨシキリ,マダガスカルシマヨシキリ,マダガスカルシマヨシキリ,鳥類,no,スズメ目,ダルマエナガ科,http://commons.wikimedia.org/wiki/Special:FilePath/Vogel_in_Isalo_2.JPG,https://commons.wikimedia.org/wiki/File:Vogel_in_Isalo_2.JPG,Q2668513
15239,マダガスカルジカッコウ,マダガスカルジカッコウ,マダガスカルジカッコウ,鳥類,yes,カッコウ目,カッコウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Coua_delalandei.JPG,https://commons.wikimedia.org/wiki/File:Coua_delalandei.JPG,Q279670
15240,マダガスカルジシギ,マダガスカルジシギ,マダガスカルジシギ,鳥類,no,チドリ目,シギ科,http://commons.wikimedia.org/wiki/Special:FilePath/Naturalis_Biodiversity_Center_-_ZMA.AVES.15228_-_Gallinago_macrodactyla_Bonaparte%2C_1839_-_Scolopacidae_-_skin_specimen.jpeg,https://commons.wikimedia.org/wiki/File:Naturalis_Biodiversity_Center_-_ZMA.AVES.15228_-_Gallinago_macrodactyla_Bonaparte%2C_1839_-_Scolopacidae_-_skin_specimen.jpeg,Q1260318
15241,マダガスカルジャコウネコ,マダガスカルジャコウネコ,マダガスカルジャコウネコ,哺乳類,no,ネコ目,マダガスカルマングース科,http://commons.wikimedia.org/wiki/Special:FilePath/Striped_Civet_-_Fossa_fossana_-_Madagascar.jpg,https://commons.wikimedia.org/wiki/File:Striped_Civet_-_Fossa_fossana_-_Madagascar.jpg,Q525088
